ZIP_CODE,POPULATION
2769,11608.0
2770,5093.0
2771,13708.0
2777,15840.0
2779,6411.0
2780,49036.0
2790,15717.0
2791,246.0
2802,786.0
2804,2607.0
2806,16310.0
2807,1051.0
2808,2401.0
2809,22938.0
2812,1497.0
2813,7831.0
2814,7496.0
2815,278.0
2816,32611.0
2817,6135.0
2818,18082.0
2822,6111.0
2825,5377.0
2826,791.0
2827,2172.0
2828,7704.0
2830,5976.0
2831,3515.0
2832,4608.0
2833,784.0
2835,5405.0
2836,136.0
2837,3492.0
2838,3400.0
2839,1902.0
2840,23335.0
2841,1392.0
2842,16095.0
2852,22551.0
2857,8412.0
2858,570.0
2859,6738.0
2860,45199.0
2861,14.0
2861,26164.0
2863,19385.0
2864,33396.0
2865,16951.0
2871,17171.0
2872,218.0
2873,235.0
2874,5860.0
2875,307.0
2876,430.0
2878,15780.0
2879,20371.0
2881,7841.0
2882,14184.0
2885,10627.0
2886,29269.0
2888,19912.0
2889,28217.0
2891,21198.0
2892,4988.0
2893,29630.0
2894,722.0
2895,41186.0
2896,11537.0
2898,1696.0
2903,10780.0
2904,29359.0
2905,25223.0
2906,28387.0
2907,27445.0
2908,37467.0
2909,43540.0
2910,21000.0
2911,15574.0
2912,1370.0
2914,21963.0
2915,16897.0
2916,8139.0
2917,13762.0
2919,28790.0
2920,37547.0
2921,12361.0
3031,11247.0
3032,4953.0
3033,4987.0
3034,3970.0
3036,4782.0
3037,4219.0
3038,33269.0
3042,6341.0
3043,1573.0
3044,4263.0
3045,13560.0
3046,2758.0
3047,1767.0
3048,3426.0
3049,7688.0
3051,24480.0
3052,8258.0
3053,23957.0
3054,25477.0
3055,15086.0
3057,2500.0
3060,29357.0
3062,26694.0
3063,16216.0
3064,14227.0
3070,5254.0
3071,5109.0
3076,12897.0
3077,10155.0
3079,28776.0
3082,1615.0
3084,1366.0
3086,3728.0
3087,13592.0
3101,3049.0
3102,31096.0
3103,36476.0
3104,32798.0
3106,13374.0
3109,10314.0
3110,21203.0
3215,247.0
3216,2159.0
3217,2076.0
3218,960.0
3220,7430.0
3221,2091.0
3222,5353.0
3223,3427.0
3224,2318.0
3225,3660.0
3226,1117.0
3227,925.0
3229,5589.0
3230,1231.0
3231,202.0
3233,115.0
3234,4572.0
3235,8562.0
3237,2254.0
3238,75.0
3240,1340.0
3241,876.0
3242,4836.0
3243,1085.0
3244,8092.0
3245,2027.0
3246,15963.0
3249,7113.0
3251,1662.0
3253,6219.0
3254,4049.0
3255,2090.0
3256,2169.0
3257,4455.0
3258,2517.0
3259,368.0
3260,809.0
3261,4246.0
3262,1231.0
3263,4114.0
3264,7468.0
3266,2163.0
3268,1272.0
3269,2966.0
3273,312.0
3275,11437.0
3276,8324.0
3278,2952.0
3279,829.0
3280,1123.0
3281,8785.0
3282,902.0
3284,999.0
3285,2479.0
3287,1295.0
3290,4731.0
3291,39.0
3293,143.0
3301,33008.0
3303,15524.0
3304,7519.0
3307,5334.0
3431,25280.0
3440,2692.0
3441,395.0
3442,1491.0
3443,742.0
3444,1590.0
